Dataset,Split Num,Optimized validation AUC,Optimized test AUC,Ideal test AUC,Optimized num samples,Ideal num samples
abalone-17_vs_7-8-9-10,0,0.9508771929824562,0.8654135338345866,0.9055137844611528,3890,3890
abalone-17_vs_7-8-9-10,1,0.9578947368421052,0.7974937343358397,0.7974937343358397,3536,3536
abalone-17_vs_7-8-9-10,2,0.9710526315789474,0.7565162907268171,0.82531328320802,3639,3639
abalone-17_vs_7-8-9-10,3,0.9526315789473685,0.8662907268170427,0.8662907268170427,4020,4020
abalone-17_vs_7-8-9-10,4,0.9385964912280702,0.9020050125313284,0.9055137844611528,3090,3090
abalone-17_vs_7-8-9-10,5,0.9447368421052631,0.9037593984962407,0.9116541353383459,3070,3070
abalone-17_vs_7-8-9-10,6,0.9508771929824562,0.8270676691729323,0.8662907268170427,3133,3133
abalone-17_vs_7-8-9-10,7,0.9464912280701754,0.9046365914786967,0.9350877192982456,5227,5227
abalone-17_vs_7-8-9-10,8,0.9508771929824562,0.8671679197994988,0.9020050125313284,3179,3179
abalone-17_vs_7-8-9-10,9,0.9368421052631579,0.8548872180451128,0.8548872180451128,3267,3267
abalone-17_vs_7-8-9-10,10,0.9508771929824562,0.8375939849624059,0.8785714285714286,3264,3264
abalone-17_vs_7-8-9-10,11,0.9473684210526316,0.7512531328320802,0.8645363408521304,3532,3532
abalone-17_vs_7-8-9-10,12,0.9447368421052631,0.906390977443609,0.9072681704260652,3103,3103
abalone-17_vs_7-8-9-10,13,0.9535087719298246,0.7948621553884713,0.7948621553884713,3561,3561
abalone-17_vs_7-8-9-10,14,0.943859649122807,0.7521303258145363,0.8209273182957393,3308,3308
abalone-17_vs_7-8-9-10,15,0.9377192982456141,0.8967418546365915,0.8967418546365915,3382,3382
abalone-17_vs_7-8-9-10,16,0.9526315789473685,0.8045112781954888,0.8706766917293233,3216,3216
abalone-17_vs_7-8-9-10,17,0.9508771929824562,0.8235588972431077,0.8636591478696742,3539,3539
abalone-17_vs_7-8-9-10,18,0.9464912280701754,0.8288220551378447,0.8984962406015038,4361,4361
abalone-17_vs_7-8-9-10,19,0.9464912280701754,0.7339598997493734,0.7644110275689222,3547,3547
abalone-17_vs_7-8-9-10,20,0.9456140350877194,0.7939849624060151,0.832330827067669,3113,3113
abalone-17_vs_7-8-9-10,21,0.9447368421052631,0.8053884711779449,0.8411027568922306,4257,4257
abalone-17_vs_7-8-9-10,22,0.9421052631578947,0.8540100250626567,0.8984962406015038,3108,3108
abalone-17_vs_7-8-9-10,23,0.9447368421052631,0.8305764411027569,0.8680451127819548,3718,3718
abalone-17_vs_7-8-9-10,24,0.9394736842105262,0.8235588972431077,0.855764411027569,3458,3458
abalone-17_vs_7-8-9-10,25,0.9456140350877194,0.8174185463659147,0.8862155388471178,3841,3841
abalone-17_vs_7-8-9-10,26,0.9447368421052631,0.8358395989974937,0.9368421052631579,3285,3285
abalone-17_vs_7-8-9-10,27,0.9359649122807018,0.8548872180451128,0.8636591478696742,3060,3060
abalone-17_vs_7-8-9-10,28,0.9473684210526316,0.8235588972431077,0.8296992481203007,3533,3533
abalone-17_vs_7-8-9-10,29,0.9456140350877194,0.8654135338345866,0.8680451127819548,3135,3135
abalone-17_vs_7-8-9-10,30,0.9508771929824562,0.8305764411027569,0.8697994987468671,3057,3057
abalone-20_vs_8-9-10,0,0.9767441860465117,0.825363196125908,0.8296004842615013,2578,2578
abalone-20_vs_8-9-10,1,0.9724576271186441,0.8037350246652571,0.9704016913319239,2713,2713
