Dataset,Split Num,Optimized validation AUC,Optimized test AUC,Ideal test AUC,Optimized num samples,Ideal num samples
abalone-17_vs_7-8-9-10,0,0.9745614035087719,0.8264411027568923,0.9055137844611528,49,1469
abalone-17_vs_7-8-9-10,1,0.981578947368421,0.7271929824561404,0.9078947368421052,208,12
abalone-17_vs_7-8-9-10,2,0.9859649122807018,0.713157894736842,0.8296992481203007,87,1445
abalone-17_vs_7-8-9-10,3,0.9912280701754386,0.7942355889724311,0.9254385964912281,1244,1576
abalone-17_vs_7-8-9-10,4,0.9692982456140351,0.8890977443609023,0.9219298245614035,71,26
abalone-17_vs_7-8-9-10,5,0.9736842105263158,0.7959899749373432,0.906390977443609,254,48
abalone-17_vs_7-8-9-10,6,0.9701754385964912,0.8106516290726818,0.9081453634085214,203,1552
abalone-17_vs_7-8-9-10,7,0.9745614035087719,0.7933583959899749,0.9377192982456141,78,1580
abalone-17_vs_7-8-9-10,8,0.9570175438596491,0.6897243107769424,0.8835839598997494,488,12
abalone-17_vs_7-8-9-10,9,0.9859649122807018,0.6182957393483709,0.8774436090225565,189,1387
abalone-17_vs_7-8-9-10,10,0.9710526315789474,0.7576441102756892,0.9125313283208021,86,1680
abalone-17_vs_7-8-9-10,11,0.981578947368421,0.8612781954887218,0.9271929824561403,122,1594
abalone-17_vs_7-8-9-10,12,0.9885964912280703,0.6619047619047619,0.9421052631578947,106,1799
abalone-17_vs_7-8-9-10,13,0.9745614035087719,0.6104010025062656,0.8349624060150375,163,52
abalone-17_vs_7-8-9-10,14,0.9763157894736841,0.7184210526315791,0.8741854636591478,118,37
abalone-17_vs_7-8-9-10,15,0.9052631578947369,0.818546365914787,0.9107769423558898,133,1660
abalone-17_vs_7-8-9-10,16,0.9780701754385964,0.7280701754385964,0.8984962406015038,26,1266
abalone-17_vs_7-8-9-10,17,0.9877192982456141,0.6218045112781954,0.8645363408521304,131,1367
abalone-17_vs_7-8-9-10,18,0.9614035087719298,0.8697994987468671,0.9394736842105262,1628,1490
abalone-17_vs_7-8-9-10,19,0.9728070175438597,0.7585213032581454,0.837092731829574,100,9
abalone-17_vs_7-8-9-10,20,0.9701754385964912,0.7506265664160401,0.9245614035087719,140,1328
abalone-17_vs_7-8-9-10,21,0.9105263157894736,0.863032581453634,0.9098997493734335,45,1367
abalone-17_vs_7-8-9-10,22,0.9736842105263158,0.7916040100250626,0.9412280701754385,252,1464
abalone-17_vs_7-8-9-10,23,0.9771929824561403,0.7766917293233082,0.9002506265664161,160,1660
abalone-17_vs_7-8-9-10,24,0.962280701754386,0.713157894736842,0.9072681704260652,120,1396
abalone-17_vs_7-8-9-10,25,0.9666666666666667,0.8088972431077696,0.8610275689223058,65,33
abalone-17_vs_7-8-9-10,26,0.9429824561403508,0.8325814536340852,0.9142857142857144,96,1686
abalone-17_vs_7-8-9-10,27,0.9807017543859649,0.8378446115288222,0.9342105263157895,323,33
abalone-17_vs_7-8-9-10,28,0.9394736842105263,0.6906015037593984,0.8958646616541355,79,1492
abalone-17_vs_7-8-9-10,29,0.9789473684210526,0.7324561403508772,0.8827067669172932,167,1305
abalone-17_vs_7-8-9-10,30,0.9771929824561403,0.7497493734335839,0.8540100250626567,124,1416
abalone-20_vs_8-9-10,0,0.9830866807610993,0.7613498789346247,0.8787832929782083,33,7
abalone-20_vs_8-9-10,1,0.9925847457627119,0.6582100070472163,0.899753347427766,67,19
abalone-20_vs_8-9-10,2,0.9978813559322034,0.657152924594785,0.8807258632840029,77,1108
abalone-20_vs_8-9-10,3,0.9957716701902749,0.5618946731234866,0.8221852300242132,81,969
abalone-20_vs_8-9-10,4,0.9957627118644068,0.5759337561663144,0.8976391825229035,48,8
abalone-20_vs_8-9-10,5,0.9925847457627119,0.6518675123326286,0.959830866807611,40,7
abalone-20_vs_8-9-10,6,0.9978858350951374,0.773002421307506,0.9279661016949152,188,6
abalone-20_vs_8-9-10,7,0.9904661016949153,0.9018675123326286,0.9767441860465117,60,18
abalone-20_vs_8-9-10,8,0.9947033898305085,0.7457716701902749,0.8828400281888654,11,879
abalone-20_vs_8-9-10,9,0.9989406779661018,0.5769908386187457,0.8754404510218464,30,1227
abalone-20_vs_8-9-10,10,0.992600422832981,0.839134382566586,0.9427966101694915,41,7
abalone-20_vs_8-9-10,11,0.9766949152542374,0.7373150105708245,0.9725158562367865,15,1305
abalone-20_vs_8-9-10,12,0.9915433403805497,0.6962772397094431,0.8317191283292978,73,7
abalone-20_vs_8-9-10,13,0.9872881355932203,0.7404862579281184,0.8965821000704721,22,16
abalone-20_vs_8-9-10,14,0.9936575052854122,0.699455205811138,0.9491525423728814,49,10
abalone-20_vs_8-9-10,15,0.9830866807610993,0.8306598062953996,0.9608050847457626,72,980
abalone-20_vs_8-9-10,16,0.9968220338983051,0.7447145877378435,0.9018675123326286,101,6
abalone-20_vs_8-9-10,17,0.9968287526427062,0.6312046004842614,0.9565677966101696,136,13
abalone-20_vs_8-9-10,18,0.9947033898305085,0.824876673713883,0.9693446088794926,82,10
abalone-20_vs_8-9-10,19,0.9756871035940804,0.8232445520581114,0.9491525423728814,7,11
abalone-20_vs_8-9-10,20,0.9989429175475687,0.7100484261501211,0.9148002421307506,44,12
abalone-20_vs_8-9-10,21,0.9862579281183933,0.6973365617433414,0.9713983050847458,84,1043
abalone-20_vs_8-9-10,22,0.9841437632135306,0.8423123486682809,0.983050847457627,74,978
abalone-20_vs_8-9-10,23,0.9957627118644068,0.7383720930232558,0.9355179704016913,173,10
abalone-20_vs_8-9-10,24,0.7687651331719128,0.8817829457364342,0.9704016913319239,784,801
abalone-20_vs_8-9-10,25,0.9936440677966102,0.5685341789992953,0.9018675123326286,25,9
abalone-20_vs_8-9-10,26,0.9968220338983051,0.6613812544045101,0.8786116983791403,43,1613
abalone-20_vs_8-9-10,27,0.9957627118644068,0.5738195912614518,0.9630021141649049,58,1143
abalone-20_vs_8-9-10,28,1.0,0.7436575052854123,0.8786116983791403,13,1144
abalone-20_vs_8-9-10,29,0.9851694915254237,0.7299154334038055,0.9630021141649049,22,876
abalone-20_vs_8-9-10,30,0.9883720930232558,0.9169188861985472,0.986228813559322,69,28
abalone-21_vs_8,0,0.9964788732394366,0.6561032863849765,1.0,60,63
abalone-21_vs_8,1,0.9859154929577465,0.8051643192488263,0.8943661971830986,33,26
abalone-21_vs_8,2,0.9964788732394366,0.6525821596244131,0.9964788732394366,23,15
abalone-21_vs_8,3,0.9718309859154929,0.9823943661971831,0.9823943661971831,9,9
abalone-21_vs_8,4,0.9964788732394366,0.9894366197183099,0.9894366197183099,65,130
abalone-21_vs_8,5,1.0,0.9823943661971831,0.9929577464788732,57,59
abalone-21_vs_8,6,0.9788732394366197,0.943661971830986,0.9718309859154929,125,94
abalone-21_vs_8,7,1.0,0.6420187793427229,0.9788732394366197,20,27
abalone-21_vs_8,8,1.0,0.8262910798122065,0.8333333333333333,33,42
abalone-21_vs_8,9,0.9964788732394366,0.9683098591549295,0.9859154929577465,195,63
abalone-21_vs_8,10,1.0,0.6596244131455399,0.8298122065727699,52,54
abalone-21_vs_8,11,0.9929577464788732,0.9859154929577465,0.9859154929577465,75,75
abalone-21_vs_8,12,0.9929577464788732,0.9753521126760563,0.9929577464788732,42,37
abalone-21_vs_8,13,1.0,0.9823943661971831,0.9964788732394366,49,8
abalone-21_vs_8,14,0.9964788732394366,0.8227699530516431,1.0,73,83
abalone-21_vs_8,15,0.9964788732394366,0.8051643192488263,0.9823943661971831,31,34
abalone-21_vs_8,16,1.0,0.812206572769953,0.9929577464788732,72,52
abalone-21_vs_8,17,1.0,0.8298122065727699,0.8556338028169014,37,21
abalone-21_vs_8,18,0.9929577464788732,0.8192488262910798,0.9190140845070423,34,32
abalone-21_vs_8,19,0.9612676056338028,0.9788732394366197,0.9788732394366197,9,9
abalone-21_vs_8,20,0.9894366197183099,0.9647887323943661,0.9859154929577465,80,81
abalone-21_vs_8,21,0.9964788732394366,0.6561032863849765,0.8298122065727699,28,16
abalone-21_vs_8,22,0.9929577464788732,0.8262910798122065,0.9753521126760563,42,44
abalone-21_vs_8,23,0.9964788732394366,0.8086854460093896,0.8227699530516431,24,16
abalone-21_vs_8,24,0.9964788732394366,0.8192488262910798,0.9964788732394366,26,49
abalone-21_vs_8,25,1.0,0.6561032863849765,0.8227699530516431,17,20
abalone-21_vs_8,26,1.0,0.8333333333333333,0.8333333333333333,6,31
abalone-21_vs_8,27,0.9964788732394366,0.812206572769953,0.9859154929577465,23,75
abalone-21_vs_8,28,0.9859154929577465,0.9823943661971831,0.9894366197183099,36,16
abalone-21_vs_8,29,1.0,0.9894366197183099,0.9929577464788732,134,90
abalone-21_vs_8,30,1.0,0.6666666666666666,0.8838028169014084,46,44
abalone-3_vs_11,0,1.0,1.0,1.0,6,6
abalone-3_vs_11,1,1.0,1.0,1.0,6,6
abalone-3_vs_11,2,1.0,1.0,1.0,6,6
abalone-3_vs_11,3,1.0,0.9959016393442622,1.0,6,6
abalone-3_vs_11,4,1.0,0.9958677685950413,1.0,6,6
abalone-3_vs_11,5,1.0,0.9877049180327868,1.0,6,6
abalone-3_vs_11,6,1.0,1.0,1.0,6,6
abalone-3_vs_11,7,1.0,1.0,1.0,6,6
abalone-3_vs_11,8,1.0,1.0,1.0,6,6
abalone-3_vs_11,9,1.0,1.0,1.0,6,6
abalone-3_vs_11,10,1.0,1.0,1.0,6,6
abalone-3_vs_11,11,1.0,1.0,1.0,6,6
abalone-3_vs_11,12,1.0,1.0,1.0,6,6
abalone-3_vs_11,13,1.0,1.0,1.0,6,6
abalone-3_vs_11,14,1.0,0.9959016393442622,1.0,6,6
abalone-3_vs_11,15,1.0,1.0,1.0,6,6
abalone-3_vs_11,16,1.0,0.9917355371900827,1.0,6,6
abalone-3_vs_11,17,1.0,1.0,1.0,6,6
abalone-3_vs_11,18,1.0,1.0,1.0,6,6
abalone-3_vs_11,19,1.0,1.0,1.0,6,6
abalone-3_vs_11,20,1.0,1.0,1.0,6,6
abalone-3_vs_11,21,1.0,1.0,1.0,6,6
abalone-3_vs_11,22,1.0,1.0,1.0,6,6
abalone-3_vs_11,23,1.0,1.0,1.0,6,6
abalone-3_vs_11,24,1.0,1.0,1.0,6,6
abalone-3_vs_11,25,1.0,0.9959016393442622,1.0,6,6
abalone-3_vs_11,26,1.0,1.0,1.0,6,6
abalone-3_vs_11,27,1.0,1.0,1.0,6,6
abalone-3_vs_11,28,1.0,1.0,1.0,6,6
abalone-3_vs_11,29,1.0,0.9959016393442622,1.0,6,6
abalone-3_vs_11,30,1.0,1.0,1.0,6,6
abalone19,0,0.9662162162162162,0.5310990338164252,0.8843599033816425,82,3165
abalone19,1,0.9657335907335907,0.5243357487922705,0.872463768115942,103,8
abalone19,2,0.9618725868725868,0.6997584541062802,0.8592391304347826,109,33
abalone19,3,0.972007722007722,0.7128019323671497,0.7901570048309179,71,13
abalone19,4,0.7782335907335907,0.6857487922705314,0.8121980676328503,3801,3350
