Dataset,Split Num,Optimized validation AUC,Optimized test AUC,Ideal test AUC,Optimized num samples,Ideal num samples
ecoli-0-6-7_vs_3-5,8,0.9500000000000001,0.94,0.94,-1,-1
ecoli-0-6-7_vs_3-5,9,0.97,0.9600000000000001,0.98,-1,-1
ecoli-0-6-7_vs_3-5,10,0.9600000000000001,0.9299999999999999,0.94,-1,-1
ecoli-0-6-7_vs_3-5,11,0.94,0.89,0.89,-1,-1
ecoli-0-6-7_vs_3-5,12,0.97,0.91,0.9199999999999999,-1,-1
ecoli-0-6-7_vs_3-5,13,0.9600000000000001,0.88,0.91,-1,-1
ecoli-0-6-7_vs_3-5,14,0.9600000000000001,0.9600000000000001,0.97,-1,-1
ecoli-0-6-7_vs_3-5,15,0.9600000000000001,0.75,0.75,-1,-1
ecoli-0-6-7_vs_3-5,16,0.97,0.9299999999999999,0.94,-1,-1
ecoli-0-6-7_vs_3-5,17,0.98,0.94,0.94,-1,-1
ecoli-0-6-7_vs_3-5,18,0.9500000000000001,0.81,0.94,-1,-1
ecoli-0-6-7_vs_3-5,19,0.99,0.81,0.8400000000000001,-1,-1
ecoli-0-6-7_vs_3-5,20,0.98,0.89,0.9299999999999999,-1,-1
ecoli-0-6-7_vs_3-5,21,0.9299999999999999,0.8400000000000001,0.8600000000000001,-1,-1
ecoli-0-6-7_vs_3-5,22,0.98,0.8300000000000001,0.8500000000000001,-1,-1
ecoli-0-6-7_vs_3-5,23,0.98,0.7400000000000001,0.87,-1,-1
ecoli-0-6-7_vs_3-5,24,0.9299999999999999,0.98,0.98,-1,-1
ecoli-0-6-7_vs_3-5,25,0.97,0.7200000000000001,0.87,-1,-1
ecoli-0-6-7_vs_3-5,26,0.98,0.9500000000000001,0.97,-1,-1
ecoli-0-6-7_vs_3-5,27,0.9600000000000001,0.9199999999999999,0.9500000000000001,-1,-1
ecoli-0-6-7_vs_3-5,28,1.0,0.9,0.9199999999999999,-1,-1
ecoli-0-6-7_vs_3-5,29,0.99,0.9500000000000001,0.9500000000000001,-1,-1
ecoli-0-6-7_vs_3-5,30,0.9600000000000001,0.89,0.91,-1,-1
ecoli4,0,0.9746835443037974,0.9810126582278481,0.9810126582278481,-1,-1
ecoli4,1,0.9873417721518987,0.8746835443037975,0.9683544303797469,-1,-1
ecoli4,2,0.9810126582278481,0.8873417721518988,0.8936708860759495,-1,-1
ecoli4,3,0.9873417721518987,1.0,1.0,-1,-1
ecoli4,4,0.9810126582278481,0.9367088607594937,0.9620253164556962,-1,-1
ecoli4,5,0.9683544303797469,0.8746835443037975,0.9810126582278481,-1,-1
ecoli4,6,0.9873417721518987,0.8430379746835444,0.9430379746835443,-1,-1
ecoli4,7,0.9873417721518987,0.9746835443037974,0.9873417721518987,-1,-1
ecoli4,8,0.9936708860759494,0.8620253164556964,0.8683544303797469,-1,-1
ecoli4,9,0.9936708860759494,0.8620253164556964,0.8620253164556964,-1,-1
ecoli4,10,0.9620253164556962,0.9620253164556962,0.9810126582278481,-1,-1
ecoli4,11,0.9873417721518987,0.8493670886075949,0.9556962025316456,-1,-1
ecoli4,12,0.9683544303797469,0.9620253164556962,0.9683544303797469,-1,-1
ecoli4,13,0.9810126582278481,0.9810126582278481,0.9936708860759494,-1,-1
ecoli4,14,0.9936708860759494,0.8620253164556964,0.9683544303797469,-1,-1
ecoli4,15,0.9746835443037974,0.9746835443037974,0.9810126582278481,-1,-1
ecoli4,16,0.9873417721518987,0.9810126582278481,0.9810126582278481,-1,-1
ecoli4,17,0.9810126582278481,0.9873417721518987,0.9936708860759494,-1,-1
ecoli4,18,1.0,0.8873417721518988,0.8873417721518988,-1,-1
ecoli4,19,0.9746835443037974,0.9620253164556962,0.9620253164556962,-1,-1
